,name,住所,センター,latitude,longitude,dish,class,dish_container,demand,elevation,start_time,end_time,start,end
28,中部センター,豊沢２２８９−２,中部センター,34.7376934,137.9642717,0,0,0,0,71.02287292,0,720,0,12
0,袋井東小学校,広岡2317番地の１,中部センター,34.7581021,137.9450523,318,13,2,2,15.24838352,630,690,10.5,11.5
1,袋井西小学校,袋井市川井442番地,中部センター,34.7462358,137.9161396,543,20,3,3,12.07047081,630,690,10.5,11.5
2,袋井南小学校,高尾740番地,中部センター,34.7420791,137.9319082,641,22,3,3,25.32787132,630,690,10.5,11.5
3,袋井北小学校,久能1580番地,中部センター,34.7592071,137.9148257,"1,079",34,6,6,14.27334023,630,690,10.5,11.5
4,高南小学校,上田町306番地の２,中部センター,34.7347209,137.9343822,441,15,3,3,12.84996319,630,690,10.5,11.5
5,浅羽東小学校,浅羽2800番地,中部センター,34.7211789,137.9272602,387,13,3,2,17.66181183,630,690,10.5,11.5
6,袋井中学校,川井701番地,中部センター,34.745832,137.9188932,860,30,4,4,11.62743664,630,700,10.5,11.7
7,袋井南中学校,愛野3110番地,中部センター,34.7420358,137.9424232,522,16,3,3,30.80122757,630,700,10.5,11.7
8,袋井東幼稚園,国本2288番地,中部センター,34.760808,137.9379358,69,3,0,1,14.77300072,630,660,10.5,11
9,袋井西幼稚園,川井568番地の１,中部センター,34.7450251,137.9154471,62,3,0,1,10.49427032,630,660,10.5,11
10,田原幼稚園,新池190番地の１,中部センター,34.7292543,137.9076388,42,2,0,1,7.006800652,630,660,10.5,11
11,浅羽東こども園,浅羽2617番地の１,中部センター,34.7200928,137.9290092,115,6,0,1,19.03496552,630,660,10.5,11
12,浅羽西幼稚園,長溝873番地の１,中部センター,34.7037981,137.9094161,52,3,0,1,6.307924747,630,660,10.5,11
13,浅羽南幼稚園,松原1793番地,中部センター,34.6812009,137.9329906,78,3,0,1,4.756153584,630,660,10.5,11
14,浅羽北幼稚園,浅名41番地,中部センター,34.7073647,137.9228252,55,3,0,1,4.488914013,630,660,10.5,11
15,笠原小学校,山崎4822番地,中部センター,34.7121409,137.9663604,170,8,1,1,68.95613098,630,690,10.5,11.5
16,浅羽南小学校,西同笠148番地,中部センター,34.6813469,137.9352664,324,13,3,2,3.745952845,630,690,10.5,11.5
17,浅羽北小学校,浅羽1322番地,中部センター,34.7081258,137.9220136,348,14,3,2,5.036250591,630,690,10.5,11.5
18,浅羽中学校,浅名822番地,中部センター,34.7039778,137.933609,648,20,3,3,5.501086712,630,700,10.5,11.7
